"snapshot_timestamp","weight_before","weight_after","water_amount_g","job","id_tag","snapshot_id","measurement_label"
"2019-07-29 08:24:39-07","172.7","197.099","25","watering","C4","4159100","GoldStandard2_water"
"2019-07-29 08:37:31-07","167.5","192.133","25","watering","C5","4159200","GoldStandard2_water"
"2019-07-29 08:03:44-07","168.9","193.432","25","watering","C6","4159300","GoldStandard2_water"
"2019-07-29 08:41:32-07","165.9","190.566","25","watering","C7","4159400","GoldStandard2_water"
"2019-07-29 08:23:40-07","165.2","190.034","25","watering","D1","4159500","GoldStandard2_water"
"2019-07-29 08:36:35-07","167.6","192.734","25","watering","D2","4159600","GoldStandard2_water"
"2019-07-29 08:01:44-07","168.1","192.601","25","watering","D3","4159700","GoldStandard2_water"
"2019-07-29 08:21:43-07","168.2","192.701","25","watering","D4","4159800","GoldStandard2_water"
"2019-07-29 08:33:35-07","172.233","196.734","25","watering","D5","4159900","GoldStandard2_water"
"2019-07-29 08:09:49-07","158.267","183.233","25","watering","D6","4160000","GoldStandard2_water"
"2019-07-29 08:10:47-07","167.767","192.001","25","watering","D7","4160100","GoldStandard2_water"
"2019-07-29 08:04:47-07","173","197.368","25","watering","E1","4160200","GoldStandard2_water"
"2019-07-29 08:18:46-07","165","189.798","25","watering","E2","4160300","GoldStandard2_water"
"2019-07-29 08:35:30-07","162.6","187.032","25","watering","E3","4160400","GoldStandard2_water"
"2019-07-29 08:14:51-07","165.4","190","25","watering","E4","4160500","GoldStandard2_water"
"2019-07-29 08:16:48-07","164.2","188.8","25","watering","E5","4160600","GoldStandard2_water"
"2019-07-29 08:32:33-07","168.8","193.802","25","watering","E6","4160700","GoldStandard2_water"
"2019-07-29 08:11:47-07","167.7","192.399","25","watering","E7","4160800","GoldStandard2_water"
"2019-07-29 08:08:52-07","170.5","195.601","25","watering","F1","4160900","GoldStandard2_water"
"2019-07-29 08:25:38-07","160.933","185.467","25","watering","F2","4161000","GoldStandard2_water"
"2019-07-29 08:28:30-07","160.633","185.632","25","watering","F3","4161100","GoldStandard2_water"
"2019-07-29 08:13:49-07","170.367","195.732","25","watering","F4","4161200","GoldStandard2_water"
"2019-07-29 08:38:33-07","157.3","182.034","25","watering","F5","4161300","GoldStandard2_water"
"2019-07-29 08:19:44-07","155.4","179.799","25","watering","F6","4161400","GoldStandard2_water"
"2019-07-29 08:29:26-07","166.5","191.535","25","watering","F7","4161500","GoldStandard2_water"
"2019-08-12 08:14:28-07","130.2","148.401","20","watering","A1","4265900","GoldStandard2_water"
"2019-08-12 08:35:32-07","130.9","148.999","20","watering","A2","4266000","GoldStandard2_water"
"2019-08-12 08:08:58-07","129.9","148.899","20","watering","A3","4266100","GoldStandard2_water"
"2019-08-12 08:22:22-07","128.5","146.8","20","watering","A4","4266200","GoldStandard2_water"
"2019-08-12 08:39:58-07","148.2","166.8","20","watering","A5","4266300","GoldStandard2_water"
"2019-08-12 08:24:31-07","135.9","154.466","20","watering","A6","4266400","GoldStandard2_water"
"2019-08-12 08:12:15-07","139.2","157.732","20","watering","A7","4266500","GoldStandard2_water"
"2019-08-12 08:34:24-07","124.6","142.801","20","watering","B1","4266600","GoldStandard2_water"
"2019-08-12 08:17:51-07","129.5","147.8","20","watering","B2","4266700","GoldStandard2_water"
"2019-08-12 08:21:12-07","132.9","151.2","20","watering","B3","4266800","GoldStandard2_water"
"2019-08-12 08:10:01-07","138.7","156.7","20","watering","B4","4266900","GoldStandard2_water"
"2019-08-12 08:03:20-07","138.8","157.202","20","watering","B5","4267000","GoldStandard2_water"
"2019-08-12 08:30:02-07","132.3","151.365","20","watering","B6","4267100","GoldStandard2_water"
"2019-08-12 08:20:04-07","130.7","149.3","20","watering","B7","4267200","GoldStandard2_water"
"2019-08-12 08:26:43-07","124.6","142.9","20","watering","C1","4267300","GoldStandard2_water"
"2019-08-12 07:56:20-07","143.8","162.1","20","watering","C2","4267400","GoldStandard2_water"
"2019-08-12 07:58:38-07","128","146.768","20","watering","C3","4267500","GoldStandard2_water"
"2019-08-12 08:18:59-07","128.1","146.4","20","watering","C4","4267600","GoldStandard2_water"
"2019-08-12 08:36:42-07","139.2","158.298","20","watering","C5","4267700","GoldStandard2_water"
"2019-08-12 07:59:49-07","138.867","157.767","20","watering","C6","4267800","GoldStandard2_water"
"2019-08-12 08:41:02-07","134.8","153.4","20","watering","C7","4267900","GoldStandard2_water"
"2019-08-12 08:28:53-07","131.6","149.9","20","watering","D1","4268000","GoldStandard2_water"
"2019-08-12 08:01:01-07","128.6","147.602","20","watering","D2","4268100","GoldStandard2_water"
"2019-08-12 08:25:37-07","128.5","146.599","20","watering","D3","4268200","GoldStandard2_water"
"2019-08-12 08:32:13-07","145.1","163.7","20","watering","D5","4268300","GoldStandard2_water"
"2019-08-12 08:05:33-07","130","148.699","20","watering","D6","4268400","GoldStandard2_water"
"2019-08-12 08:06:45-07","140.8","159.001","20","watering","D7","4268500","GoldStandard2_water"
"2019-08-12 08:33:19-07","130.9","149.2","20","watering","E1","4268600","GoldStandard2_water"
"2019-08-12 08:04:27-07","128.5","147.4","20","watering","E2","4268700","GoldStandard2_water"
"2019-08-12 07:57:29-07","138.533","157.167","20","watering","E3","4268800","GoldStandard2_water"
"2019-08-12 08:11:08-07","138","156.399","20","watering","E4","4268900","GoldStandard2_water"
"2019-08-12 08:13:18-07","132.7","150.667","20","watering","E5","4269000","GoldStandard2_water"
"2019-08-12 08:31:06-07","135.8","154.301","20","watering","E6","4269100","GoldStandard2_water"
"2019-08-12 08:07:52-07","134.9","153.302","20","watering","E7","4269200","GoldStandard2_water"
"2019-08-12 08:38:55-07","127.6","145.9","20","watering","F1","4269300","GoldStandard2_water"
"2019-08-12 08:15:34-07","127.1","145.7","20","watering","F2","4269400","GoldStandard2_water"
"2019-08-12 08:02:11-07","125.3","143.6","20","watering","F3","4269500","GoldStandard2_water"
"2019-08-12 08:23:27-07","123.2","141.8","20","watering","F4","4269600","GoldStandard2_water"
"2019-08-12 08:37:49-07","133.9","152.2","20","watering","F5","4269700","GoldStandard2_water"
"2019-08-12 08:16:44-07","131","149.1","20","watering","F6","4269800","GoldStandard2_water"
"2019-08-12 08:27:47-07","135.9","154.398","20","watering","F7","4269900","GoldStandard2_water"
"2019-08-02 08:28:13-07","155.7","173.799","20","watering","A1","4270000","GoldStandard2_water"
"2019-08-02 08:40:22-07","152.567","171.467","20","watering","A2","4270100","GoldStandard2_water"
"2019-08-02 08:18:11-07","156.567","176.967","20","watering","A3","4270200","GoldStandard2_water"
"2019-08-02 08:05:01-07","157.767","177.432","20","watering","A4","4270300","GoldStandard2_water"
"2019-08-02 08:08:07-07","166.3","185.967","20","watering","A5","4270400","GoldStandard2_water"
"2019-08-02 08:26:13-07","167.6","187.1","20","watering","A6","4270500","GoldStandard2_water"
"2019-08-02 08:16:12-07","167.833","187.333","20","watering","A7","4270600","GoldStandard2_water"
"2019-08-02 08:27:13-07","147.4","165.499","20","watering","B1","4270700","GoldStandard2_water"
"2019-08-02 08:36:16-07","153.7","172.9","20","watering","B2","4270800","GoldStandard2_water"
"2019-08-02 08:13:12-07","158","177.701","20","watering","B3","4270900","GoldStandard2_water"
"2019-08-02 08:14:11-07","162.6","182.434","20","watering","B4","4271000","GoldStandard2_water"
"2019-08-02 08:07:11-07","169.9","189.865","20","watering","B5","4271100","GoldStandard2_water"
"2019-08-02 08:31:07-07","153.4","172.6","20","watering","B6","4271200","GoldStandard2_water"
"2019-08-02 08:22:13-07","150.567","169.569","20","watering","B7","4271300","GoldStandard2_water"
"2019-08-02 08:30:09-07","150.533","170.132","20","watering","C1","4271400","GoldStandard2_water"
"2019-08-02 08:00:43-07","173.7","192","20","watering","C2","4271500","GoldStandard2_water"
"2019-08-02 08:02:55-07","161.067","179.367","20","watering","C3","4271600","GoldStandard2_water"
"2019-08-02 08:24:12-07","149.467","168.268","20","watering","C4","4271700","GoldStandard2_water"
"2019-08-02 08:37:14-07","162.367","182.533","20","watering","C5","4271800","GoldStandard2_water"
"2019-08-02 08:03:52-07","170.2","190.066","20","watering","C6","4271900","GoldStandard2_water"
"2019-08-02 08:41:21-07","160.2","179.733","20","watering","C7","4272000","GoldStandard2_water"
"2019-08-02 08:21:10-07","155.4","175.398","20","watering","D1","4272100","GoldStandard2_water"
"2019-08-02 08:34:05-07","154.3","172.399","20","watering","D2","4272200","GoldStandard2_water"
"2019-08-02 08:39:17-07","149","167.3","20","watering","D3","4272300","GoldStandard2_water"
"2019-08-02 08:33:04-07","173.6","193.535","20","watering","D5","4272400","GoldStandard2_water"
"2019-08-02 08:10:11-07","152.967","171.699","20","watering","D6","4272500","GoldStandard2_water"
"2019-08-02 08:11:07-07","168.5","188.099","20","watering","D7","4272600","GoldStandard2_water"
"2019-08-02 08:35:06-07","150.4","170.299","20","watering","E1","4272700","GoldStandard2_water"
"2019-08-02 08:23:10-07","154.2","174.099","20","watering","E2","4272800","GoldStandard2_water"
"2019-08-02 08:01:51-07","167.4","186.201","20","watering","E3","4272900","GoldStandard2_water"
"2019-08-02 08:15:12-07","166.2","186.699","20","watering","E4","4273000","GoldStandard2_water"
"2019-08-02 08:17:14-07","166.2","185.898","20","watering","E5","4273100","GoldStandard2_water"
"2019-08-02 08:32:05-07","167.7","187.566","20","watering","E6","4273200","GoldStandard2_water"
"2019-08-02 08:12:11-07","165","183","20","watering","E7","4273300","GoldStandard2_water"
"2019-08-02 08:09:06-07","151.5","171.099","20","watering","F1","4273400","GoldStandard2_water"
"2019-08-02 08:19:08-07","154.5","174.198","20","watering","F2","4273500","GoldStandard2_water"
"2019-08-02 08:06:08-07","157.667","176.601","20","watering","F3","4273600","GoldStandard2_water"
"2019-08-02 08:25:11-07","150.8","169.835","20","watering","F4","4273700","GoldStandard2_water"
"2019-08-02 08:38:17-07","154.7","173.9","20","watering","F5","4273800","GoldStandard2_water"
"2019-08-02 08:20:10-07","155.1","174.432","20","watering","F6","4273900","GoldStandard2_water"
"2019-08-02 08:29:07-07","167.067","187.167","20","watering","F7","4274000","GoldStandard2_water"
"2019-08-04 08:28:44-07","153","171.498","20","watering","A1","4280600","GoldStandard2_water"
"2019-08-04 08:41:05-07","150.6","171.099","20","watering","A2","4280700","GoldStandard2_water"
"2019-08-04 08:18:33-07","155.3","174.332","20","watering","A3","4280800","GoldStandard2_water"
"2019-08-04 08:05:07-07","156.2","174.833","20","watering","A4","4280900","GoldStandard2_water"
"2019-08-04 08:08:25-07","168.3","187.401","20","watering","A5","4281000","GoldStandard2_water"
"2019-08-04 08:26:39-07","167.4","185.799","20","watering","A6","4281100","GoldStandard2_water"
"2019-08-04 08:16:28-07","166.8","186.633","20","watering","A7","4281200","GoldStandard2_water"
"2019-08-04 08:27:42-07","141.6","160.101","20","watering","B1","4281300","GoldStandard2_water"
"2019-08-04 08:36:52-07","151.6","170.8","20","watering","B2","4281400","GoldStandard2_water"
"2019-08-04 08:13:28-07","156.833","176.234","20","watering","B3","4281500","GoldStandard2_water"
"2019-08-04 08:14:22-07","165.5","185.102","20","watering","B4","4281600","GoldStandard2_water"
"2019-08-04 08:07:17-07","169.5","188.799","20","watering","B5","4281700","GoldStandard2_water"
"2019-08-04 08:31:57-07","153.2","171.568","20","watering","B6","4281800","GoldStandard2_water"
"2019-08-04 08:22:29-07","149.7","169.2","20","watering","B7","4281900","GoldStandard2_water"
"2019-08-04 08:30:48-07","151.5","170.433","20","watering","C1","4282000","GoldStandard2_water"
"2019-08-04 08:00:46-07","173.4","192.3","20","watering","C2","4282100","GoldStandard2_water"
"2019-08-04 08:02:54-07","158.6","176.532","20","watering","C3","4282200","GoldStandard2_water"
"2019-08-04 08:24:35-07","145.4","164.702","20","watering","C4","4282300","GoldStandard2_water"
"2019-08-04 08:37:51-07","162.133","180.067","20","watering","C5","4282400","GoldStandard2_water"
"2019-08-04 08:04:00-07","171.167","190.1","20","watering","C6","4282500","GoldStandard2_water"
"2019-08-04 08:42:08-07","158.4","178.5","20","watering","C7","4282600","GoldStandard2_water"
"2019-08-04 08:21:29-07","152.6","172.4","20","watering","D1","4282700","GoldStandard2_water"
"2019-08-04 08:34:53-07","152.533","170.867","20","watering","D2","4282800","GoldStandard2_water"
"2019-08-04 08:40:06-07","144.633","163.233","20","watering","D3","4282900","GoldStandard2_water"
"2019-08-04 08:33:53-07","174.933","194.832","20","watering","D5","4283000","GoldStandard2_water"
"2019-08-04 08:10:31-07","152","170.867","20","watering","D6","4283100","GoldStandard2_water"
"2019-08-04 08:11:27-07","170.4","190.998","20","watering","D7","4283200","GoldStandard2_water"
"2019-08-04 08:35:53-07","149.233","167.935","20","watering","E1","4283300","GoldStandard2_water"
"2019-08-04 08:23:31-07","151.1","169.4","20","watering","E2","4283400","GoldStandard2_water"
"2019-08-04 08:01:49-07","168.4","187.702","20","watering","E3","4283500","GoldStandard2_water"
"2019-08-04 08:15:26-07","166.4","185.102","20","watering","E4","4283600","GoldStandard2_water"
"2019-08-04 08:17:31-07","163.933","183.133","20","watering","E5","4283700","GoldStandard2_water"
"2019-08-04 08:32:54-07","167.5","187.501","20","watering","E6","4283800","GoldStandard2_water"
"2019-08-04 08:12:26-07","164.2","184.201","20","watering","E7","4283900","GoldStandard2_water"
"2019-08-04 08:09:26-07","149.3","168.701","20","watering","F1","4284000","GoldStandard2_water"
"2019-08-04 08:19:36-07","152.8","172.999","20","watering","F2","4284100","GoldStandard2_water"
"2019-08-04 08:06:14-07","154.5","173.499","20","watering","F3","4284200","GoldStandard2_water"
"2019-08-04 08:25:36-07","141.9","161.598","20","watering","F4","4284300","GoldStandard2_water"
"2019-08-04 08:38:59-07","156.7","175.6","20","watering","F5","4284400","GoldStandard2_water"
"2019-08-04 08:20:32-07","153.333","173.466","20","watering","F6","4284500","GoldStandard2_water"
"2019-08-04 08:29:44-07","168","186.498","20","watering","F7","4284600","GoldStandard2_water"
"2019-08-05 08:29:43-07","160","178.099","20","watering","A1","4284700","GoldStandard2_water"
"2019-08-05 08:42:24-07","159.1","178.167","20","watering","A2","4284800","GoldStandard2_water"
"2019-08-05 08:19:12-07","162.533","181.832","20","watering","A3","4284900","GoldStandard2_water"
"2019-08-05 08:05:01-07","163.5","182.301","20","watering","A4","4285000","GoldStandard2_water"
"2019-08-05 08:08:11-07","177.4","195.601","20","watering","A5","4285100","GoldStandard2_water"
"2019-08-05 08:27:36-07","174.9","193.299","20","watering","A6","4285200","GoldStandard2_water"
"2019-08-05 08:16:56-07","175.5","193.366","20","watering","A7","4285300","GoldStandard2_water"
"2019-08-05 08:28:41-07","144.7","163.3","20","watering","B1","4285400","GoldStandard2_water"
"2019-08-05 08:38:15-07","159","177.6","20","watering","B2","4285500","GoldStandard2_water"
"2019-08-05 08:13:37-07","164.3","182.702","20","watering","B3","4285600","GoldStandard2_water"
"2019-08-05 08:14:40-07","174.333","192.933","20","watering","B4","4285700","GoldStandard2_water"
"2019-08-05 08:07:05-07","178.4","196.601","20","watering","B5","4285800","GoldStandard2_water"
"2019-08-05 08:32:55-07","159","178.299","20","watering","B6","4285900","GoldStandard2_water"
"2019-08-05 08:23:28-07","156.9","175.2","20","watering","B7","4286000","GoldStandard2_water"
"2019-08-05 08:31:48-07","156.333","175.431","20","watering","C1","4286100","GoldStandard2_water"
"2019-08-05 08:00:42-07","182","201.899","20","watering","C2","4286200","GoldStandard2_water"
"2019-08-05 08:02:57-07","163.9","182.299","20","watering","C3","4286300","GoldStandard2_water"
"2019-08-05 08:25:36-07","151.1","170","20","watering","C4","4286400","GoldStandard2_water"
"2019-08-05 08:39:18-07","168.7","187.999","20","watering","C5","4286500","GoldStandard2_water"
"2019-08-05 08:03:53-07","179.5","199","20","watering","C6","4286600","GoldStandard2_water"
"2019-08-05 08:43:24-07","165.8","185.201","20","watering","C7","4286700","GoldStandard2_water"
"2019-08-05 08:22:21-07","159.2","178.4","20","watering","D1","4286800","GoldStandard2_water"
"2019-08-05 08:36:12-07","157.367","175.667","20","watering","D2","4286900","GoldStandard2_water"
"2019-08-05 08:41:21-07","151.5","171.3","20","watering","D3","4287000","GoldStandard2_water"
"2019-08-05 08:35:04-07","184.433","202.835","20","watering","D5","4287100","GoldStandard2_water"
"2019-08-05 08:10:23-07","159.9","178.766","20","watering","D6","4287200","GoldStandard2_water"
"2019-08-05 08:11:29-07","180.8","200.201","20","watering","D7","4287300","GoldStandard2_water"
"2019-08-05 08:37:08-07","157.1","176.102","20","watering","E1","4287400","GoldStandard2_water"
"2019-08-05 08:24:34-07","156.167","174.266","20","watering","E2","4287500","GoldStandard2_water"
"2019-08-05 08:01:51-07","177.567","195.768","20","watering","E3","4287600","GoldStandard2_water"
"2019-08-05 08:15:47-07","174.8","193.768","20","watering","E4","4287700","GoldStandard2_water"
"2019-08-05 08:18:03-07","171.067","189.565","20","watering","E5","4287800","GoldStandard2_water"
"2019-08-05 08:33:59-07","175.4","194.402","20","watering","E6","4287900","GoldStandard2_water"
"2019-08-05 08:12:31-07","174.367","192.568","20","watering","E7","4288000","GoldStandard2_water"
"2019-08-05 08:09:24-07","156.5","175.598","20","watering","F1","4288100","GoldStandard2_water"
"2019-08-05 08:20:15-07","160.533","179.965","20","watering","F2","4288200","GoldStandard2_water"
"2019-08-05 08:05:59-07","161.467","181.165","20","watering","F3","4288300","GoldStandard2_water"
"2019-08-05 08:26:33-07","149.1","169.098","20","watering","F4","4288400","GoldStandard2_water"
"2019-08-05 08:40:23-07","165.967","184.267","20","watering","F5","4288500","GoldStandard2_water"
"2019-08-05 08:21:16-07","161.367","180.567","20","watering","F6","4288600","GoldStandard2_water"
"2019-08-05 08:30:47-07","176.2","195.1","20","watering","F7","4288700","GoldStandard2_water"
"2019-07-31 08:27:13-07","160.1","179.433","20","watering","A1","4288800","GoldStandard2_water"
"2019-07-31 08:38:55-07","156.8","176.102","20","watering","A2","4288900","GoldStandard2_water"
"2019-07-31 08:17:26-07","164.6","184.1","20","watering","A3","4289000","GoldStandard2_water"
"2019-07-31 08:04:39-07","163.767","183.765","20","watering","A4","4289100","GoldStandard2_water"
"2019-07-31 08:07:42-07","165.3","184.899","20","watering","A5","4289200","GoldStandard2_water"
"2019-07-31 08:25:14-07","167.6","186.899","20","watering","A6","4289300","GoldStandard2_water"
"2019-07-31 08:15:32-07","168.3","188.301","20","watering","A7","4289400","GoldStandard2_water"
"2019-07-31 08:26:15-07","157.5","177.198","20","watering","B1","4289500","GoldStandard2_water"
"2019-07-31 08:34:58-07","161.8","181.333","20","watering","B2","4289600","GoldStandard2_water"
"2019-07-31 08:12:37-07","164.9","184.601","20","watering","B3","4289700","GoldStandard2_water"
"2019-07-31 08:13:38-07","160.4","179.999","20","watering","B4","4289800","GoldStandard2_water"
"2019-07-31 08:06:44-07","172.133","192.233","20","watering","B5","4289900","GoldStandard2_water"
"2019-07-31 08:30:08-07","153.6","173.532","20","watering","B6","4290000","GoldStandard2_water"
"2019-07-31 08:21:27-07","152.9","172.502","20","watering","B7","4290100","GoldStandard2_water"
"2019-07-31 08:29:11-07","159.033","179.133","20","watering","C1","4290200","GoldStandard2_water"
"2019-07-31 08:00:42-07","171.967","191.566","20","watering","C2","4290300","GoldStandard2_water"
"2019-07-31 08:02:40-07","165.9","186.099","20","watering","C3","4290400","GoldStandard2_water"
"2019-07-31 08:23:21-07","161.167","180.667","20","watering","C4","4290500","GoldStandard2_water"
"2019-07-31 08:35:56-07","166.4","186.101","20","watering","C5","4290600","GoldStandard2_water"
"2019-07-31 08:03:38-07","170.7","190.398","20","watering","C6","4290700","GoldStandard2_water"
"2019-07-31 08:39:50-07","163.7","183.635","20","watering","C7","4290800","GoldStandard2_water"
"2019-07-31 08:20:25-07","164.1","183.3","20","watering","D1","4290900","GoldStandard2_water"
"2019-07-31 08:33:03-07","160.8","180.3","20","watering","D2","4291000","GoldStandard2_water"
"2019-07-31 08:37:56-07","159.033","178.799","20","watering","D3","4291100","GoldStandard2_water"
"2019-07-31 08:32:08-07","171.8","191.435","20","watering","D5","4291200","GoldStandard2_water"
"2019-07-31 08:09:44-07","155.433","174.432","20","watering","D6","4291300","GoldStandard2_water"
"2019-07-31 08:10:41-07","168.067","187.066","20","watering","D7","4291400","GoldStandard2_water"
"2019-07-31 08:34:03-07","155.567","174.869","20","watering","E1","4291500","GoldStandard2_water"
"2019-07-31 08:22:26-07","159.6","180.198","20","watering","E2","4291600","GoldStandard2_water"
"2019-07-31 08:01:39-07","164.8","184","20","watering","E3","4291700","GoldStandard2_water"
"2019-07-31 08:14:37-07","167.4","186.866","20","watering","E4","4291800","GoldStandard2_water"
"2019-07-31 08:16:28-07","166.9","186.601","20","watering","E5","4291900","GoldStandard2_water"
"2019-07-31 08:31:12-07","167.1","187.401","20","watering","E6","4292000","GoldStandard2_water"
"2019-07-31 08:11:36-07","167.433","186.732","20","watering","E7","4292100","GoldStandard2_water"
"2019-07-31 08:08:43-07","159.6","178.998","20","watering","F1","4292200","GoldStandard2_water"
"2019-07-31 08:18:24-07","161.6","181.1","20","watering","F2","4292300","GoldStandard2_water"
"2019-07-31 08:05:41-07","162.7","181.866","20","watering","F3","4292400","GoldStandard2_water"
"2019-07-31 08:24:16-07","167","187.367","20","watering","F4","4292500","GoldStandard2_water"
"2019-07-31 08:36:52-07","153.9","173.7","20","watering","F5","4292600","GoldStandard2_water"
"2019-07-31 08:19:23-07","156.8","176.702","20","watering","F6","4292700","GoldStandard2_water"
"2019-07-31 08:28:09-07","166.6","185.899","20","watering","F7","4292800","GoldStandard2_water"
